target_coordinates	gene_name	transcript_id	Strand
chr8:26643950-26644091	DPYSL2	ENST00000521913	+
chr1:36361221-36361340	STK40	ENST00000373132	-
chr7:2659940-2660040	TTYH3	ENST00000429448	+
chr14:89190384-89190449	FOXN3	ENST00000345097	-
chr3:66462438-66462509	LRIG1	ENST00000273261	-
chr3:65401439-65401470	MAGI1	ENST00000402939	-
chr13:79543618-79543682	NDFIP2	ENST00000487865	+
chr19:9660720-9660874	ZNF562	ENST00000453372	-
chr6:43130511-43130661	PTK7	ENST00000230419	+
chr17:28350766-28350792	POLDIP2	ENST00000540200	-
chr19:11438067-11438124	PRKCSH	ENST00000677123	+
chr18:57607134-57607333	NARS1	ENST00000256854	-
chr19:1058146-1058269	ABCA7	ENST00000263094	+
chr14:89190387-89190449	FOXN3	ENST00000553840	-
chr10:35483404-35483478	CCNY	ENST00000374704	+
chr17:43212315-43212394	TMEM106A	ENST00000588693	+
chr6:43060518-43060605	KLC4	ENST00000394056	+
chr3:9454005-9454101	SETD5	ENST00000488236	+
chr16:81084463-81084594	GCSH	ENST00000315467	-
chr3:130894731-130894775	ATP2C1	ENST00000505072	+
chr3:63913157-63913225	ATXN7	ENST00000674280	+
chr2:197499259-197499438	HSPD1	ENST00000428204	-
chr12:21501170-21501372	RECQL	ENST00000314748	-
chr6:33209915-33210130	RING1	ENST00000374656	+
chr1:946402-946545	NOC2L	ENST00000327044	-
chr9:133685193-133685286	SARDH	ENST00000439388	-
chr16:1346847-1346955	BAIAP3	ENST00000426824	+
chr7:73607331-73607420	MLXIPL	ENST00000313375	-
chr16:70467886-70467966	FCSK	ENST00000288078	+
chr1:156137654-156137743	LMNA	ENST00000368300	+
chr13:100262729-100262831	PCCA	ENST00000376285	+
chr21:45475476-45475535	COL18A1	ENST00000651438	+
chr16:85633914-85634132	GSE1	ENST00000253458	+
chr12:132508153-132508350	FBRSL1	ENST00000680143	+
chr3:13047478-13047522	IQSEC1	ENST00000648114	-
chr8:22025647-22025772	NPM2	ENST00000518119	+
chr13:114265150-114265240	CDC16	ENST00000356221	+
chr19:41433272-41433434	DMAC2	ENST00000221943	-
chr19:10089898-10090047	SHFL	ENST00000253110	+
chr11:117193853-117193963	SIDT2	ENST00000324225	+
chr11:61268922-61269018	VWCE	ENST00000335613	-
chr22:20744628-20744720	PI4KA	ENST00000255882	-
chr15:22839655-22839790	NIPA2	ENST00000337451	+
chr5:138431425-138431559	KDM3B	ENST00000314358	+
chr13:49552178-49552285	RCBTB1	ENST00000378302	-
chr10:68756273-68756483	CCAR1	ENST00000265872	+
chr3:57865242-57865292	SLMAP	ENST00000671191	+
chr22:38128269-38128430	PLA2G6	ENST00000332509	-
chr2:127421283-127421449	PROC	ENST00000234071	+
chr14:54399894-54399976	CDKN3	ENST00000335183	+
chr16:24949404-24949484	ARHGAP17	ENST00000289968	-
chr6:43681089-43681120	MRPS18A	ENST00000372133	-
chr11:113852501-113852633	USP28	ENST00000696973	-
chr3:129290679-129290804	HMCES	ENST00000383463	+
chr2:201627321-201627414	TMEM237	ENST00000409883	-
chrX:38322853-38322945	RPGR	ENST00000645032	-
chr20:33640344-33640531	CBFA2T2	ENST00000543126	+
chr2:203193795-203193911	NBEAL1	ENST00000683969	+
chr12:43771220-43771365	IRAK4	ENST00000613694	+
chr9:26920227-26920384	PLAA	ENST00000397292	-
chr2:72971570-72971685	SFXN5	ENST00000272433	-
chr19:35258945-35259064	LSR	ENST00000605618	+
chr5:151056766-151056957	TNIP1	ENST00000521591	-
chr10:35179134-35179276	CREM	ENST00000685392	+
chr7:92234449-92234592	KRIT1	ENST00000394505	-
chr6:8434385-8434430	SLC35B3	ENST00000644923	-
chr12:122521385-122521428	RSRC2	ENST00000331738	-
chr11:108224784-108224871	ATM	ENST00000452508	+
chr3:37008814-37008905	MLH1	ENST00000231790	+
chr2:38296686-38296700	ATL2	ENST00000629272	-
chr12:56642673-56642684	ATP5F1B	ENST00000551570	-
chr1:211312720-211312835	RCOR3	ENST00000529763	+
chr5:74751368-74751493	GFM2	ENST00000296805	-
chr3:138704443-138704493	PIK3CB	ENST00000674063	-
chr12:68820325-68820374	MDM2	ENST00000258149	+
chr2:218651701-218652300	ZNF142	ENST00000411696	-
chr3:49691425-49691509	RNF123	ENST00000327697	+
chr1:16989887-16990003	ATP13A2	ENST00000326735	-
chr11:93724254-93724375	CEP295	ENST00000325212	+
chr20:34397208-34397321	ITCH	ENST00000670516	+
chr1:107683488-107683533	VAV3	ENST00000370056	-
chr1:212782372-212782426	NSL1	ENST00000366977	-
chr12:44143525-44143624	TMEM117	ENST00000266534	+
chr14:31787780-31787873	NUBPL	ENST00000281081	+
chr2:9962455-9962531	GRHL1	ENST00000324907	+
chr9:89339864-89339953	SECISBP2	ENST00000375807	+
chr2:99171343-99171429	MITD1	ENST00000289359	-
chr14:55653017-55653085	KTN1	ENST00000395314	+
chr7:50539915-50540028	DDC	ENST00000444124	-
chr22:45523091-45523204	FBLN1	ENST00000402984	+
chr1:147166498-147166618	PRKAB2	ENST00000254101	-
chr12:76862810-76862959	CSRP2	ENST00000552330	-
chr16:66558190-66558348	CKLF	ENST00000264001	+
chr12:16354231-16354378	MGST1	ENST00000396210	+
chr17:74864480-74864564	FDXR	ENST00000293195	-
chr7:110886593-110886695	IMMP2L	ENST00000405709	-
chr7:103917075-103917185	RELN	ENST00000428762	-
chr21:37095350-37095444	TTC3	ENST00000418766	+
chr19:29708254-29708423	C19orf12	ENST00000323670	-
chr11:66504612-66504774	DPP3	ENST00000531863	+
chr11:87157341-87157406	TMEM135	ENST00000305494	+
chr4:113609152-113609206	CAMK2D	ENST00000511664	-
chr19:43478047-43478132	PHLDB3	ENST00000292140	-
chr5:151108455-151108550	ANXA6	ENST00000354546	-
chr9:71947006-71947112	C9orf85	ENST00000334731	+
chr2:224535528-224535641	CUL3	ENST00000264414	-
chr20:5586194-5586269	GPCPD1	ENST00000379019	-
chr1:161860207-161860277	ATF6	ENST00000367942	+
chr8:129904499-129904585	CYRIB	ENST00000694912	-
chr1:114464270-114464388	TRIM33	ENST00000358465	-
chr2:36396614-36396787	CRIM1	ENST00000280527	+
chr8:116726016-116726172	EIF3H	ENST00000521861	-
chr1:156377301-156377487	RHBG	ENST00000537040	+
chr19:41869031-41869214	RPS19	ENST00000598742	+
chr1:169324393-169324500	NME7	ENST00000367811	-
chr2:138000918-138001025	HNMT	ENST00000280097	+
chr1:235213769-235214026	ARID4B	ENST00000264183	-
chr1:52436755-52436978	TUT4	ENST00000257177	-
chr13:110627439-110627547	NAXD	ENST00000680254	+
chr19:34368583-34368702	GPI	ENST00000356487	+
chr7:157225407-157225539	UBE3C	ENST00000348165	+
chr20:34470048-34470120	ITCH	ENST00000374864	+
chr11:125110491-125110549	TMEM218	ENST00000526175	-
chr7:100640976-100641228	TFR2	ENST00000223051	-
chr17:18241451-18241715	LLGL1	ENST00000316843	+
chr17:4809298-4809363	PLD2	ENST00000263088	+
chr17:6649982-6650078	MED31	ENST00000225728	-
chr12:76059798-76059878	NAP1L1	ENST00000618691	-
chr22:20113686-20113808	TRMT2A	ENST00000252136	-
chr6:143284110-143284225	AIG1	ENST00000357847	+
chr6:15593059-15593081	DTNBP1	ENST00000344537	-
chr11:17194389-17194414	PIK3C2A	ENST00000532035	-
chr16:376544-376812	PGAP6	ENST00000431232	-
chr17:18335559-18335675	SHMT1	ENST00000316694	-
chr3:143022853-143023064	U2SURP	ENST00000473835	+
chr18:34708174-34708226	DTNA	ENST00000591816	+
chr6:31950868-31950944	CFB	ENST00000425368	+
chrX:53431825-53431906	HSD17B10	ENST00000375304	-
chr14:23564333-23564388	AP1G2	ENST00000397120	-
chr6:33269999-33270051	VPS52	ENST00000445902	-
chr11:134153140-134153200	NCAPD3	ENST00000534548	-
chr6:41930132-41930270	BYSL	ENST00000230340	+
chr17:5426236-5426299	RPAIN	ENST00000381209	+
chr3:50114180-50114251	RBM5	ENST00000347869	+
chr11:47216336-47216472	DDB2	ENST00000256996	+
chr17:54905489-54905567	TOM1L1	ENST00000575882	+
chr14:35000936-35001020	SRP54	ENST00000216774	+
chr3:146536540-146536565	PLSCR1	ENST00000342435	-
chr10:112533530-112533550	VTI1A	ENST00000705995	+
chr3:9909217-9909283	IL17RE	ENST00000383814	+
chr9:136420012-136420080	PMPCA	ENST00000706376	+
chr8:130358017-130358143	ASAP1	ENST00000518721	-
chr6:34341862-34341972	NUDT3	ENST00000607016	-
chr14:23566064-23566160	AP1G2	ENST00000397120	-
chr13:75805479-75805760	LMO7	ENST00000377534	+
chr17:58694931-58695189	RAD51C	ENST00000337432	+
chr2:101790720-101790776	MAP4K4	ENST00000324219	+
chrX:31260955-31261016	DMD	ENST00000357033	-
chr2:186633329-186633374	ITGAV	ENST00000261023	+
chr4:113502936-113502977	CAMK2D	ENST00000511664	-
chr14:99501356-99501413	CCNK	ENST00000389879	+
chr2:162359494-162359552	GCA	ENST00000437150	+
chr18:166787-166819	USP14	ENST00000261601	+
chr14:88596734-88596808	ZC3H14	ENST00000251038	+
chr3:93910619-93910705	PROS1	ENST00000394236	-
chr8:63186147-63187745	YTHDF3	ENST00000539294	+
chr8:42395084-42395133	VDAC3	ENST00000022615	+
chr11:102363668-102363716	BIRC2	ENST00000227758	+
chr10:100540634-100540782	HIF1AN	ENST00000299163	+
chr4:94523724-94523875	PDLIM5	ENST00000317968	+
chrX:110264489-110264599	AMMECR1	ENST00000262844	-
chr2:69423582-69423717	NFU1	ENST00000410022	-
chr3:58508893-58509025	ACOX2	ENST00000302819	-
chr4:13460699-13460828	RAB28	ENST00000330852	-
chr10:74600379-74600493	ADK	ENST00000539909	+
chr14:71587571-71589370	SIPA1L1	ENST00000381232	+
chr11:63718981-63721032	RTN3	ENST00000540798	+
chr10:72508155-72508269	MICU1	ENST00000361114	-
chr2:120042006-120042110	EPB41L5	ENST00000263713	+
chr1:86730088-86730111	SH3GLB1	ENST00000482504	+
chr1:207785071-207785106	CD46	ENST00000367042	+
chr9:96551796-96551872	CDC14B	ENST00000375241	-
chr9:94429189-94429251	MFSD14B	ENST00000375344	+
chr12:118283605-118283702	TAOK3	ENST00000542532	-
chr15:82432817-82432897	GOLGA6L9	ENST00000618348	+
chr11:43883983-43884017	ALKBH3	ENST00000302708	+
chr4:158700875-158700919	ETFDH	ENST00000684129	+
chr6:31888969-31889070	EHMT2	ENST00000375537	-
chr11:65553164-65553256	LTBP3	ENST00000301873	-
chr6:31625792-31625871	PRRC2A	ENST00000376033	+
chr16:69448115-69448144	CYB5B	ENST00000307892	+
chrX:23713135-23713208	ACOT9	ENST00000379303	-
chr1:32797763-32797843	YARS1	ENST00000373477	-
chr14:24137143-24137205	PSME1	ENST00000206451	+
chr13:19970025-19970071	ZMYM2	ENST00000382874	+
chr14:23556743-23557304	THTPA	ENST00000404535	+
chr1:156265781-156266380	SMG5	ENST00000361813	-
chr13:23660365-23660490	TNFRSF19	ENST00000248484	+
chr16:20911183-20911264	LYRM1	ENST00000569023	+
chr1:246735975-246736055	SCCPDH	ENST00000366510	+
chr16:405146-405224	DECR2	ENST00000633923	+
chr21:46221854-46221975	LSS	ENST00000397728	-
chr19:2812199-2812372	THOP1	ENST00000395212	+
chr6:111699515-111699670	FYN	ENST00000368678	-
chr9:111436940-111437108	ECPAS	ENST00000684092	-
chr10:5712394-5712539	TASOR2	ENST00000645567	+
chr4:154610067-154610197	FGG	ENST00000336098	-
chr19:12293232-12293375	ZNF44	ENST00000356109	-
chr18:12310943-12311053	TUBB6	ENST00000317702	+
chr10:74589282-74589317	ADK	ENST00000539909	+
chr21:37072145-37072310	PIGP	ENST00000399098	-
chr1:10337371-10337533	KIF1B	ENST00000676179	+
chr1:46189242-46189357	POMGNT1	ENST00000371992	-
chr10:125816177-125816260	UROS	ENST00000368797	-
chr12:133193428-133193533	ZNF268	ENST00000541009	+
chr5:150012255-150012353	HMGXB3	ENST00000502717	+
chr5:141642397-141642503	FCHSD1	ENST00000522783	-
chr1:150962130-150962158	SETDB1	ENST00000692827	+
chr19:39466675-39466745	SUPT5H	ENST00000432763	+
chr19:10916696-10916777	CARM1	ENST00000327064	+
chr15:75338062-75338133	COMMD4	ENST00000267935	+
chr7:107986175-107986363	LAMB1	ENST00000222399	-
chr16:8722767-8722842	ABAT	ENST00000564714	+
chr15:65331050-65331214	IGDCC3	ENST00000327987	-
chr2:218665155-218665247	RNF25	ENST00000295704	-
chr12:102164438-102164608	PARPBP	ENST00000327680	+
chr2:206786733-206786899	FASTKD2	ENST00000402774	+
chr2:85644948-85645083	USP39	ENST00000323701	+
chr19:19880051-19880146	ZNF253	ENST00000589717	+
chr2:72961131-72961248	SFXN5	ENST00000272433	-
chr2:47011331-47011435	TTC7A	ENST00000319190	+
chr11:47424607-47424711	PSMC3	ENST00000298852	-
chr18:34829400-34829489	DTNA	ENST00000444659	+
chr7:38219565-38219660	STARD3NL	ENST00000009041	+
chr15:63061713-63061788	TPM1	ENST00000403994	+
chr6:79202317-79202389	HMGN3	ENST00000275036	-
chr3:134558142-134558347	CEP63	ENST00000675561	+
chr6:7601336-7601524	SNRNP48	ENST00000342415	+
chr1:220196250-220196398	RAB3GAP2	ENST00000358951	-
chr12:89601326-89601433	ATP2B1	ENST00000428670	-
chr17:42762340-42762463	RAMP2	ENST00000587142	+
chr17:75225698-75225829	NUP85	ENST00000245544	+
chr2:72968448-72968533	SFXN5	ENST00000272433	-
chr15:45173576-45173716	SHF	ENST00000690270	-
chr5:177601426-177601503	B4GALT7	ENST00000510761	+
chr18:2760652-2760739	SMCHD1	ENST00000320876	+
chr3:172509217-172509321	TNFSF10	ENST00000241261	-
chr3:183758862-183758965	YEATS2	ENST00000305135	+
chr3:180986943-180987022	DNAJC19	ENST00000382564	-
chr1:31910038-31910112	PTP4A2	ENST00000647444	-
chr10:103105706-103105801	NT5C2	ENST00000404739	-
chr3:121828470-121828632	IQCB1	ENST00000310864	-
chr4:99591651-99591790	MTTP	ENST00000265517	+
chr2:85552416-85552567	GGCX	ENST00000233838	-
chr14:23062929-23063074	ACIN1	ENST00000605057	-
chr12:49371228-49371290	SPATS2	ENST00000552918	+
chr2:164837428-164837498	COBLL1	ENST00000439313	-
chr1:144460843-144460961	NBPF15	ENST00000581897	-
chr12:110501417-110501559	VPS29	ENST00000546588	-
chr2:98616207-98616346	UNC50	ENST00000357765	+
chr9:113392119-113392169	ALAD	ENST00000409155	-
chr2:53895007-53895076	PSME4	ENST00000404125	-
chr11:64271613-64271803	BAD	ENST00000309032	-
chr6:127996901-127996988	PTPRK	ENST00000368226	-
chr4:78466208-78466435	FRAS1	ENST00000512123	+
chr6:167898205-167898467	AFDN	ENST00000683244	+
chr19:740352-740483	PALM	ENST00000338448	+
chr21:44813976-44814104	SUMO3	ENST00000332859	-
chr11:75271701-75271724	ARRB1	ENST00000420843	-
chr15:73711135-73711170	CD276	ENST00000318443	+
chr9:69249375-69249485	TJP2	ENST00000377245	+
chr1:59321536-59321750	FGGY	ENST00000303721	+
chr20:526696-526942	CSNK2A1	ENST00000646814	-
chr1:3493771-3493899	MEGF6	ENST00000356575	-
chr17:82929362-82929500	TBCD	ENST00000355528	+
chr14:102954198-102954275	CDC42BPB	ENST00000361246	-
chr9:96352038-96352109	SLC35D2	ENST00000253270	-
chr13:21402797-21402866	ZDHHC20	ENST00000400590	-
chr9:96351103-96351171	SLC35D2	ENST00000253270	-
chr20:50940865-50940933	DPM1	ENST00000371588	-
chr12:130991014-130991078	ADGRD1	ENST00000261654	+
chr20:527933-528049	CSNK2A1	ENST00000217244	-
chr9:123652013-123652123	DENND1A	ENST00000394215	-
chr1:92266700-92266741	GLMN	ENST00000370360	-
chr11:17135111-17135159	PIK3C2A	ENST00000691414	-
chr17:75239375-75239571	GGA3	ENST00000537686	-
chr1:84671177-84671308	SSX2IP	ENST00000342203	-
chr12:101714090-101714237	CHPT1	ENST00000229266	+
chr2:48328561-48328702	FOXN2	ENST00000340553	+
chr15:71916370-71916492	MYO9A	ENST00000356056	-
chr1:172577539-172577559	SUCO	ENST00000263688	+
chr12:9110314-9110334	A2M	ENST00000318602	-
chr1:176136488-176136547	COP1	ENST00000367669	-
chr14:30638184-30638247	SCFD1	ENST00000678669	+
chr8:33388963-33389798	FUT10	ENST00000327671	-
chr8:41598292-41599304	GPAT4	ENST00000396987	+
chr2:73938910-73939022	DGUOK	ENST00000264093	+
chr15:75859878-75859982	UBE2Q2	ENST00000267938	+
chr14:50174454-50174552	SOS2	ENST00000216373	-
chr2:75522365-75522487	EVA1A	ENST00000393913	-
chr2:74673457-74673576	SEMA4F	ENST00000357877	+
chr19:15695936-15696069	CYP4F12	ENST00000550308	+
chr2:74662732-74662825	SEMA4F	ENST00000357877	+
chr3:183086693-183086788	MCCC1	ENST00000265594	-
chr19:18912984-18913046	COPE	ENST00000262812	-
chr13:20786965-20787057	XPO4	ENST00000255305	-
chr17:60055515-60055601	HEATR6	ENST00000184956	-
chr14:50766307-50766396	NIN	ENST00000530997	-
chr2:218479650-218479715	USP37	ENST00000258399	-
chr10:99688694-99688750	ENTPD7	ENST00000370489	+
chr2:233540662-233540769	USP40	ENST00000678225	-
chr2:223775901-223776009	AP1S3	ENST00000396654	-
chr15:51947292-51947389	LEO1	ENST00000299601	-
chr4:84844456-84844509	WDFY3	ENST00000514071	-
chrX:50374971-50375057	DGKK	ENST00000611977	-
chr16:18788063-18788142	RPS15A	ENST00000322989	-
chr16:88725009-88725080	PIEZO1	ENST00000301015	-
chr6:30201035-30201138	TRIM26	ENST00000454678	-
chr7:29398373-29398486	CHN2	ENST00000222792	+
chr10:45786612-45786674	WASHC2C	ENST00000623400	+
chr1:53218867-53218923	CZIB	ENST00000294360	-
chr18:34988593-34988848	MAPRE2	ENST00000587359	+
chr18:49856813-49856890	MYO5B	ENST00000285039	-
chr11:16807144-16807224	PLEKHA7	ENST00000636113	-
chr5:149242491-149242538	ABLIM3	ENST00000309868	+
chr18:12012170-12012215	IMPA2	ENST00000269159	+
chr1:62253067-62253209	KANK4	ENST00000371153	-
chr17:49809119-49809208	KAT7	ENST00000259021	+
chr3:170267915-170268000	PRKCI	ENST00000295797	+
chr5:149237448-149237603	ABLIM3	ENST00000309868	+
chr16:28107522-28107677	XPO6	ENST00000304658	-
chr18:62544802-62544873	ZCCHC2	ENST00000269499	+
chr4:38935718-38935790	FAM114A1	ENST00000358869	+
chr12:22506711-22506819	C2CD5	ENST00000446597	-
chr3:9904032-9904151	IL17RE	ENST00000383814	+
chr16:56842578-56842695	NUP93	ENST00000569842	+
chrX:31126642-31126673	DMD	ENST00000357033	-
chr2:66569050-66569145	MEIS1	ENST00000272369	+
chr15:43412672-43412767	TP53BP1	ENST00000434595	-
chr12:2920763-2920922	TULP3	ENST00000448120	+
chr1:183545966-183546337	SMG7	ENST00000688051	+
chr19:29971193-29971227	URI1	ENST00000392271	+
chr15:99276576-99276616	LRRC28	ENST00000301981	+
chr6:43449107-43449204	ABCC10	ENST00000372530	+
chr20:62307371-62307452	ADRM1	ENST00000253003	+
chr14:73282359-73282505	NUMB	ENST00000555238	-
chr14:52661293-52661304	ERO1A	ENST00000395686	-
chr11:4084673-4084765	STIM1	ENST00000526596	+
chr9:112052399-112052438	SUSD1	ENST00000374270	-
chr22:17105853-17105954	IL17RA	ENST00000319363	+
chr17:38707763-38707872	MLLT6	ENST00000621332	+
chr9:78265859-78265906	CEP78	ENST00000643273	+
chr1:93156036-93156084	TMED5	ENST00000479918	-
chr10:50127160-50127222	WASHC2A	ENST00000282633	+
chr17:42774646-42774699	VPS25	ENST00000253794	+
chr10:38012298-38012350	ZNF33A	ENST00000432900	+
chr1:183547103-183547252	SMG7	ENST00000688051	+
chrX:108598702-108598870	COL4A5	ENST00000328300	+
chr11:63375645-63375768	SLC22A9	ENST00000279178	+
chr6:11000087-11000164	ELOVL2	ENST00000354666	-
chr11:113806489-113806584	USP28	ENST00000696973	-
chr4:153592475-153592584	TMEM131L	ENST00000409959	+
chr12:111933886-111934030	TMEM116	ENST00000552374	-
chr10:125729003-125729104	EDRF1	ENST00000356792	+
chr19:52953284-52953389	ZNF816	ENST00000332302	-
chr10:29526961-29527056	SVIL	ENST00000355867	-
chr6:36222168-36222265	BRPF3	ENST00000357641	+
chr10:73470687-73470781	PPP3CB	ENST00000360663	-
chr20:4883642-4883823	SLC23A2	ENST00000338244	-
chr1:236816449-236816543	MTR	ENST00000366577	+
chr15:48167349-48167401	MYEF2	ENST00000324324	-
chr10:95422190-95422216	SORBS1	ENST00000371247	-
chr3:9870445-9870474	CIDEC	ENST00000618572	-
chr12:56773834-56774165	HSD17B6	ENST00000322165	+
chr10:95375973-95376056	SORBS1	ENST00000371247	-
chr3:101585437-101585511	PCNP	ENST00000265260	+
chr7:74372932-74373036	CLIP2	ENST00000223398	+
chr8:11857858-11857940	CTSB	ENST00000678929	-
chr1:29320685-29320825	PTPRU	ENST00000373779	+
chr14:60289806-60289914	PPM1A	ENST00000395076	+
chr9:125342219-125342299	GAPVD1	ENST00000297933	+
chr2:201073071-201073153	NDUFB3	ENST00000684175	+
chr3:65448022-65448057	MAGI1	ENST00000402939	-
chr22:27914317-27914347	PITPNB	ENST00000335272	-
chr4:16035735-16035761	PROM1	ENST00000447510	-
chr17:19551424-19551468	SLC47A1	ENST00000270570	+
chr12:122976253-122976401	OGFOD2	ENST00000397389	+
chr18:9204476-9204544	ANKRD12	ENST00000262126	+
chr11:34992315-34992379	PDHX	ENST00000227868	+
chr6:33199169-33199416	RXRB	ENST00000374680	-
chr14:21083835-21084050	ARHGEF40	ENST00000298694	+
chr1:46000959-46000979	MAST2	ENST00000674079	+
chr17:42227529-42227685	STAT5B	ENST00000293328	-
chr5:150742114-150742157	DCTN4	ENST00000447998	-
chr4:78432357-78432604	FRAS1	ENST00000512123	+
chr20:64025939-64026058	PRPF6	ENST00000266079	+
chr8:123805267-123805339	FAM91A1	ENST00000334705	+
chr9:13143466-13143564	MPDZ	ENST00000319217	-
chr3:81586092-81586190	GBE1	ENST00000429644	-
chr12:122347375-122347479	CLIP1	ENST00000620786	-
chr14:23995032-23995133	DHRS4L2	ENST00000335125	+
chr9:2115822-2116049	SMARCA2	ENST00000349721	+
chr19:5216720-5216767	PTPRS	ENST00000262963	-
chr19:40238905-40238973	AKT2	ENST00000392038	-
chr1:43964269-43964321	IPO13	ENST00000372343	+
chr13:77059523-77059626	MYCBP2	ENST00000544440	-
chr1:43603611-43604189	PTPRF	ENST00000359947	+
chr9:128421204-128421511	CERCAM	ENST00000411852	+
chr11:59797283-59797396	STX3	ENST00000337979	+
chr17:1891833-1891940	RPA1	ENST00000254719	+
chr15:41943067-41943164	EHD4	ENST00000220325	-
chr11:46664849-46664959	ATG13	ENST00000683050	+
chr2:74873276-74873371	HK2	ENST00000290573	+
chr20:33392142-33392242	CDK5RAP1	ENST00000346416	-
chr2:71124206-71124543	MCEE	ENST00000244217	-
chr20:58659623-58659634	STX16	ENST00000371141	+
chr12:105348602-105348626	C12orf75	ENST00000443585	+
chr2:203396785-203396967	ABI2	ENST00000261018	+
chr3:127668441-127668597	PODXL2	ENST00000342480	+
chr4:185422485-185422553	UFSP2	ENST00000505357	-
chr5:102990272-102990401	PAM	ENST00000438793	+
chr9:123387730-123387858	DENND1A	ENST00000394215	-
chr11:75784618-75784746	DGAT2	ENST00000228027	+
chr19:5931404-5931531	RANBP3	ENST00000340578	-
chr3:124637208-124637303	KALRN	ENST00000682506	+
chr10:46027432-46027528	NCOA4	ENST00000578454	-
chr1:153757572-153757763	INTS3	ENST00000318967	+
chr17:81123194-81123343	AATK	ENST00000326724	-
chr9:120996240-120996300	C5	ENST00000223642	-
chr20:32786502-32786627	DNMT3B	ENST00000328111	+
chr5:179875920-179876037	TBC1D9B	ENST00000355235	-
chr18:10780325-10780366	PIEZO2	ENST00000674853	-
chr1:63446806-63446856	ITGB3BP	ENST00000271002	-
chr2:241318237-241318344	SEPTIN2	ENST00000401990	+
chr5:141588224-141588250	DIAPH1	ENST00000389054	-
chr5:173943026-173943049	CPEB4	ENST00000265085	+
chr3:37066224-37066325	LRRFIP2	ENST00000336686	-
chr22:35292992-35293114	HMGXB4	ENST00000216106	+
chr4:38053106-38053225	TBC1D1	ENST00000698857	+
chr7:138580562-138580694	TRIM24	ENST00000343526	+
chr4:38051899-38052060	TBC1D1	ENST00000698857	+
chr18:36798449-36798609	TPGS2	ENST00000334295	-
chr6:167893862-167893906	AFDN	ENST00000683244	+
chr17:59073094-59073141	TRIM37	ENST00000581468	-
chr9:131619051-131619206	RAPGEF1	ENST00000683357	-
chr7:74389103-74389259	CLIP2	ENST00000223398	+
chr1:15643522-15643650	DDI2	ENST00000480945	+
chr1:32154588-32154721	KPNA6	ENST00000373625	+
chr8:53811164-53811217	ATP6V1H	ENST00000359530	-
chr10:45975454-45975512	TIMM23	ENST00000580018	+
chr14:90023032-90023077	TDP1	ENST00000393452	+
chr18:47870475-47870564	SMAD2	ENST00000262160	-
chr17:75059510-75059605	KCTD2	ENST00000322444	+
chr16:24804705-24804851	TNRC6A	ENST00000395799	+
chr2:206162489-206162614	EEF1B2	ENST00000392222	+
chr1:1879787-1879902	GNB1	ENST00000703701	-
chr17:3829243-3829368	NCBP3	ENST00000389005	-
chr2:203470239-203470313	RAPH1	ENST00000308091	-
chr17:47181562-47181637	CDC27	ENST00000066544	-
chr17:67687066-67687184	PITPNC1	ENST00000580974	+
chr6:73492234-73492352	MTO1	ENST00000498286	+
chr11:63752507-63752645	RTN3	ENST00000377819	+
chr1:62123021-62123058	PATJ	ENST00000642238	+
chr6:30201035-30201083	TRIM26	ENST00000437089	-
chr5:141518944-141518996	DIAPH1	ENST00000647433	-
chr2:147981928-147982081	ORC4	ENST00000535373	-
chr10:68044404-68044563	HERC4	ENST00000373700	-
chr19:55659210-55659345	U2AF2	ENST00000308924	+
chr12:54187819-54187905	SMUG1	ENST00000337581	-
chrX:70493376-70493475	DLG3	ENST00000374355	+
chr3:167734214-167734345	PDCD10	ENST00000470131	-
chr3:167734214-167734350	PDCD10	ENST00000392750	-
chr3:167725401-167725473	PDCD10	ENST00000473645	-
chr13:43078612-43078688	DNAJC15	ENST00000379221	+
chr1:113682212-113682302	MAGI3	ENST00000369615	+
chr15:76286371-76286463	ETFA	ENST00000689730	-
chr7:151033605-151033917	ABCB8	ENST00000358849	+
chr6:35870934-35870959	SRPK1	ENST00000373825	-
chr6:133968855-133968957	TBPL1	ENST00000367869	+
chr7:51083058-51083228	COBL	ENST00000431948	-
chr16:15696709-15696860	NDE1	ENST00000396354	+
chr19:5931419-5931531	RANBP3	ENST00000591092	-
chr5:72855774-72855923	TNPO1	ENST00000337273	+
chr17:81110914-81110959	BAIAP2	ENST00000435091	+
chr19:736019-736078	PALM	ENST00000338448	+
chr2:9380741-9380808	ASAP2	ENST00000281419	+
chr21:29025709-29025771	USP16	ENST00000334352	+
chr2:200887613-200887685	PPIL3	ENST00000392283	-
chr19:48477717-48477719	CYTH2	ENST00000641098	+
chr11:1839849-1839855	TNNI2	ENST00000381911	+
chr2:96606970-96607047	KANSL3	ENST00000666923	-
chr12:54342206-54342287	COPZ1	ENST00000262061	+
chr2:169896507-169896735	UBR3	ENST00000272793	+
chr1:203733223-203733400	ATP2B4	ENST00000341360	+
chr17:59886083-59886230	TUBD1	ENST00000325752	-
chr3:141553857-141553940	RASA2	ENST00000286364	+
chr15:63061198-63061273	TPM1	ENST00000288398	+
chr14:23967391-23967455	DHRS4	ENST00000559975	+
chr4:112257772-112257797	AP1AR	ENST00000274000	+
chr9:114284724-114284777	COL27A1	ENST00000356083	+
chr12:45270462-45270524	ANO6	ENST00000423947	+
chr6:17462996-17463073	CAP2	ENST00000229922	+
